"","cluster","old.nd","new.nd","change.nd","old.seq","new.seq","change.seq","threshold","time","length"
"103","cluster.AY.3.4.msa.fasta",0.000652060511215441,0.00104329681794471,0.6,4,2,0.5,0.000939840914203042,0.00182342529296875,3840
"104","cluster.AY.3.msa.fasta",0.000669738403026875,0.00599426635392233,7.95016072966895,3403,2,0.999412283279459,0.00513903216381803,1.02728499968847,3885
"105","cluster.AY.30.msa.fasta",0.000544280090203723,0.00138888888888889,1.55179073033708,19,3,0.842105263157895,0.00157094671699881,0.00351333618164062,3846
"106","cluster.AY.32.msa.fasta",0.00066270527286811,0.00209863588667366,2.16677107093326,103,3,0.970873786407767,0.00216994222465973,0.0330655574798584,3846
"107","cluster.AY.33.msa.fasta",0.000945524039944074,0.00338541666666667,2.58046598885726,203,2,0.990147783251232,0.00300258135731402,0.195279359817505,3846
"108","cluster.AY.34.1.1.msa.fasta",0.000732238211650606,0.00208333333333333,1.84515790105668,71,2,0.971830985915493,0.00189054319987765,0.0172841548919678,3846
"109","cluster.AY.34.1.msa.fasta",0.000823610411280547,0.00171875,1.08684831621748,112,5,0.955357142857143,0.00305721973919979,0.0482332706451416,3846
"110","cluster.AY.34.2.msa.fasta",0.000224206868203729,0.000694444444444444,2.09733796296296,7,3,0.571428571428571,0.000471069144120558,0.00229835510253906,3840
"111","cluster.AY.34.msa.fasta",0.000745691313769569,0.00234375,2.1430565928843,109,2,0.981651376146789,0.00239341552241923,0.0440585613250732,3846
"112","cluster.AY.35.msa.fasta",0.000451554191656887,0.00182291666666667,3.03698315805207,86,2,0.976744186046512,0.00145586003528549,0.0244057178497314,3852
"113","cluster.AY.36.msa.fasta",0.000682657741805777,0.00287131297311407,3.20607985125728,268,2,0.992537313432836,0.00255233429580508,0.381780385971069,3846
"114","cluster.AY.37.msa.fasta",0.000924695335326961,0.00166213919795582,0.79749927836297,62,7,0.887096774193548,0.00192698451864505,0.0144009590148926,3846
"115","cluster.AY.38.msa.fasta",0.000778269679749791,0.00243055555555556,2.12302485731805,70,3,0.957142857142857,0.00303901379652114,0.0185153484344482,3846
"116","cluster.AY.39.1.1.msa.fasta",0.000427172392650713,0.000997637175111578,1.33544393850217,58,5,0.913793103448276,0.000954220394372092,0.0131320953369141,3840
"117","cluster.AY.39.1.msa.fasta",0.000890194584237751,0.00286458333333333,2.21792941010329,136,2,0.985294117647059,0.00276427150981526,0.0769939422607422,3852
"118","cluster.AY.39.2.msa.fasta",0.000564236111111111,0.00078125,0.384615384615385,4,2,0.5,0.000781886261467636,0.00239157676696777,3840
"119","cluster.AY.39.msa.fasta",0.000893144312692266,0.00265625,1.97404345776226,1211,5,0.995871180842279,0.0031864546678078,8.22299242019653,3858
"120","cluster.AY.4.1.msa.fasta",0.000564971751412429,0.00104166666666667,0.84375,4,2,0.5,0.000939595958203295,0.0018010139465332,3840
"121","cluster.AY.4.12.msa.fasta",0.000175855095401389,0.000175855095401389,0,3,3,0,0.000237534858077968,0.00194549560546875,3841
"122","cluster.AY.4.13.msa.fasta",0.000576787109738399,0.00104166666666667,0.805981182795699,8,2,0.75,0.00104325515731479,0.00214791297912598,3840
"123","cluster.AY.4.2.1.msa.fasta",0.000297379607724435,0.00130208333333333,3.37852260044643,37,2,0.945945945945946,0.00132778868029295,0.00579833984375,3847
"124","cluster.AY.4.2.2.msa.fasta",0.000586133395778993,0.0026048450117218,3.44411635726687,69,2,0.971014492753623,0.00262933403213023,0.0162310600280762,3846
"125","cluster.AY.4.2.3.msa.fasta",0.00056133844529749,0.00100220136716487,0.785378100432332,37,10,0.72972972972973,0.00118362089765846,0.0083458423614502,3840
"126","cluster.AY.4.2.5.msa.fasta",0.000868281670573934,0.00130208333333333,0.499609375,3,2,0.333333333333333,0.00117374880326772,0.00187945365905762,3840
"127","cluster.AY.4.2.msa.fasta",0.00554639943657205,0.485063135201725,86.4554998695727,193,2,0.989637305699482,0.849214767250387,0.474683284759521,4443
"128","cluster.AY.4.3.msa.fasta",0.000591350639372153,0.000851137745353483,0.439311448546247,20,6,0.7,0.00117438321280349,0.00433802604675293,3840
"129","cluster.AY.4.4.msa.fasta",0.000453428801526769,0.00121559433880351,1.68089352663616,22,3,0.863636363636364,0.000938920714495874,0.0038297176361084,3846
"130","cluster.AY.4.5.msa.fasta",0.000761866011226625,0.00234375,2.07632833787466,23,2,0.91304347826087,0.00184226143121978,0.0039057731628418,3846
"131","cluster.AY.4.6.msa.fasta",0.000347403161368768,0.000347403161368768,0,3,3,0,0.000469227226318529,0.00191259384155273,3840
"132","cluster.AY.4.7.msa.fasta",0.00116319444444444,0.0015625,0.343283582089552,6,2,0.666666666666667,0.00156450721425529,0.00215983390808105,3846
"133","cluster.AY.4.9.msa.fasta",0.000763046229434973,0.00104166666666667,0.365142276422764,8,4,0.5,0.000939442164380842,0.00232052803039551,3840
"134","cluster.AY.4.msa.fasta",0.0040363899839817,0.417513645774515,102.437390200503,2355,8,0.996602972399151,1.60523931047791,12.7886986732483,5142
"135","cluster.AY.41.msa.fasta",0.000438040560691918,0.000574112734864301,0.310638297872341,8,6,0.25,0.000705238582024606,0.00286436080932617,3846
"136","cluster.AY.42.msa.fasta",0.00046510742937906,0.00173656334114787,2.73368222362361,186,3,0.983870967741935,0.0014692550731711,0.147418737411499,3852
"137","cluster.AY.43.1.msa.fasta",0.000795673076923077,0.00112847222222222,0.418261161463578,26,4,0.846153846153846,0.00130436720071785,0.00580096244812012,3846
"138","cluster.AY.43.2.msa.fasta",0.00066468253968254,0.00104166666666667,0.567164179104477,21,2,0.904761904761905,0.00104396120672033,0.00398755073547363,3846
"139","cluster.AY.43.3.msa.fasta",0.000775091470947609,0.00125868055555556,0.623912277110626,22,4,0.818181818181818,0.00164444041138255,0.00387001037597656,3846
"140","cluster.AY.43.4.msa.fasta",0.000694444444444444,0.00104166666666667,0.5,3,2,0.333333333333333,0.000938399170438273,0.00185155868530273,3840
"141","cluster.AY.43.7.msa.fasta",0.000409986819115348,0.00104166666666667,1.54073208722741,17,2,0.882352941176471,0.000938861115897618,0.00313377380371094,3840
"142","cluster.AY.43.8.msa.fasta",0.000647423483711284,0.00111607142857143,0.723866150442478,14,7,0.5,0.000940518295513558,0.00336241722106934,3840
"143","cluster.AY.43.9.msa.fasta",0.000868055555555556,0.00104166666666667,0.2,3,2,0.333333333333333,0.000938779013595229,0.00172233581542969,3840
"144","cluster.AY.43.msa.fasta",0.00193878661800538,0.542642924086223,278.887904654764,1514,2,0.998678996036988,1.05537896953858,28.1020412445068,4768
"145","cluster.AY.44.msa.fasta",0.000656974919440358,0.00416775201875488,5.34385255118288,4374,2,0.999542752629172,0.00592588395951223,1.90327626466751,3894
"146","cluster.AY.45.msa.fasta",0.000655771953852225,0.00365821792526783,4.57849097354382,92,2,0.978260869565217,0.00294391506139714,0.0288379192352295,3846
"147","cluster.AY.46.1.msa.fasta",0.000942439840829886,0.00138925067291829,0.474100109875405,31,3,0.903225806451613,0.00183239701514716,0.0062870979309082,3846
"148","cluster.AY.46.2.msa.fasta",0.000538334635755839,0.000694444444444444,0.289986559139785,10,3,0.7,0.00078264760014681,0.00370311737060547,3840
"149","cluster.AY.46.3.msa.fasta",0.000928629307129352,0.0015625,0.682587430747922,29,4,0.862068965517241,0.00164752345940055,0.0058138370513916,3840
"150","cluster.AY.46.4.msa.fasta",0.00071708612659254,0.003125,3.35791445980055,135,2,0.985185185185185,0.00290539869188849,0.0730724334716797,3846
"151","cluster.AY.46.5.msa.fasta",0.000709974210451721,0.0015625,1.20078416511194,29,2,0.931034482758621,0.00161615785593973,0.0057988166809082,3846
"152","cluster.AY.46.6.msa.fasta",0.000697748996565565,0.00208333333333333,1.98579194465036,65,2,0.969230769230769,0.00194131571216477,0.0154094696044922,3846
"153","cluster.AY.46.msa.fasta",0.00107317029872912,0.00678673975463326,5.32401005010141,44,2,0.954545454545455,0.00659097893551742,0.0098259449005127,3852
"154","cluster.AY.47.msa.fasta",0.000674562922722738,0.00198019801980198,1.93552751433374,646,6,0.990712074303406,0.0024244669695574,2.3008177280426,3864
"155","cluster.AY.49.msa.fasta",0.00013024225058609,0.00013024225058609,0,4,4,0,0.000234563182244854,0.00248312950134277,3840
"156","cluster.AY.5.3.msa.fasta",0.00111812455106568,0.00286458333333333,1.56195370238772,41,2,0.951219512195122,0.0028761683763734,0.00831937789916992,3846
"157","cluster.AY.5.4.msa.fasta",0.000624216478274666,0.00118048268625394,0.891143100734523,29,4,0.862068965517241,0.00132169787824075,0.00563478469848633,3840
"158","cluster.AY.5.msa.fasta",0.000661850210094359,0.00364773319437207,4.51141805009326,247,2,0.991902834008097,0.00313165482605479,0.303178310394287,3852
"159","cluster.AY.51.msa.fasta",0.00038901454994626,0.000508883654657012,0.308135273416667,12,9,0.25,0.000476967711069786,0.004241943359375,3846
"160","cluster.AY.52.msa.fasta",0.000279054102817003,0.00104166666666667,2.73284841954023,11,2,0.818181818181818,0.000953532584893842,0.00230669975280762,3840
"161","cluster.AY.53.msa.fasta",0.000711005234688045,0.00208822761681023,1.93700737340766,28,2,0.928571428571429,0.00213262552727543,0.00432991981506348,3846
"162","cluster.AY.54.msa.fasta",0.000598969635653794,0.00190972222222222,2.18834563314332,152,3,0.980263157894737,0.002244211845567,0.0909404754638672,3846
"163","cluster.AY.57.msa.fasta",0.000742020933366861,0.00234375,2.15860361157929,200,2,0.99,0.00238837789353242,0.162362337112427,3840
"164","cluster.AY.59.msa.fasta",0.000733368255631221,0.00130208333333333,0.775483630952381,5,2,0.6,0.00117992545632157,0.00184893608093262,3840
"165","cluster.AY.6.msa.fasta",0.000679721849408835,0.0014150766577951,1.08184665393031,112,8,0.928571428571429,0.00173313788141341,0.0394704341888428,3846
"166","cluster.AY.60.msa.fasta",0.00032868787799106,0.000522602560752548,0.589966030833551,8,5,0.375,0.000473859701859545,0.00310349464416504,3846
"167","cluster.AY.62.msa.fasta",0.000583532912754778,0.001835824809861,2.14605186739909,43,2,0.953488372093023,0.0014345319760774,0.00815749168395996,3846
"168","cluster.AY.64.msa.fasta",0.000697687548898622,0.00182291666666667,1.61279804913295,52,2,0.961538461538462,0.00187611478624596,0.0106956958770752,3846
"169","cluster.AY.65.msa.fasta",0.0010829561559914,0.00260348867482426,1.40405732071477,24,2,0.916666666666667,0.00237219763246196,0.00506019592285156,3846
"170","cluster.AY.66.msa.fasta",0.000347403161368768,0.000347403161368768,0,3,3,0,0.000469256187673912,0.00194644927978516,3840
